id,titulo_producto,autor,categoria,lanzamiento,imagen,descripcion,precio
1,Inteligencia Artificial: Conceptos y Programas,Tim Hartnell,informatica programacion inteligenciaartificial codigo,1985,https://trastero.speccy.org/cosas/Libros/Inteligencia_Artificial.jpg,Es un libro que explica cómo se inició el tema de Inteligencia Artificial y con programas de Basic de 1985 cómo resolver varios ejercicios,1000
2,Historia y misterio de los Templarios,Martin Walker,historia humanidad pueblos edadmedia,2018,https://http2.mlstatic.com/D_NQ_NP_829607-MLA28029581869_082018-O.jpg,Es un libro dividido en dos partes. Primero la Historia desde la creación de los Templarios hasta su final. Y luego intenta resolver el misterio que dejaron.,2400
3,Rubí,Kerstin Gier,romance cienciaficcion,2009,http://2.bp.blogspot.com/-FzukhWxuqIM/TmyvYGgHbfI/AAAAAAAAAao/J2MH-EPeheI/s1600/1+Rub%25C3%25AD.jpg,"En casa de Gwendolyn Sheperd nada ni nadie es del todo “normal”, empezando por su excéntrica (¡y cotilla!) tía abuela Maddy, que tiene extrañas visiones, pasando por Lucy, que se escapó de casa hace 17 años sin dejar rastro alguno... Y para acabar, también está Charlotte, su encantadora y (rabiosamente) perfecta prima, quien, según parece, ha heredado un extraño gen familiar que le permitirá viajar en el tiempo. Pero un increíble secreto está a punto de salir a la luz: la portadora del misterioso gen para viajar a través del tiempo no es Charlotte, ¡sino la propia Gwen! Ella es, en realidad, la duodécima (¡y la última!) viajera en el tiempo y se dice que cuando su sangre se una a la de los otros once viajeros, se cerrará el misterioso “Círculo de los doce”. Para obtener más información, Gwen deberá viajar al pasado y por suerte o por desgracia, no lo hará sola: la acompañará el undécimo viajero en el tiempo, el arrogante, atractivo y sarcástico Gideon, con quien va a vivir algo más que una peligrosa carrera a través del tiempo…",3661
4,El guardian entre el centeno,J. D. Salinger,Ficción adulto joven Coming-of-age Realismo literario,1951,https://imagessl9.casadellibro.com/a/l/t5/09/9788420674209.jpg,"Holden Caulfield es el primer adolescente real de la literatura. El protagonista de 'El guardián entre el centeno' es un chaval normal que vive en la Nueva york de postguerra, lleno de dudas y miedos, enfrentado a un fracaso escolar que le frustra, con unos deseos alejados de la realidad, mediocre y, por tanto, extremadamente especial en su normalidad. Un personaje que el tiempo ha convertido en un referente. En el espejo de millones de jóvenes que se sienten abrumados ante la visión de una edad adulta que les exige mucho y les ofrece más bien poco.",1687
5,Las malas,Camila Sosa Villada,novela drama,2019,https://static2planetadelibroscom.cdnstatics.com/usuaris/libros/fotos/295/original/294293_portada_las-malas__201901181333.jpg,"Cuando llegó a Córdoba capital para estudiar en la universidad, Camila Sosa Villada fue una noche, muerta de miedo, a espiar a las travestis del Parque Sarmiento y encontró su primer lugar de pertenencia en el mundo. Las malas es un rito de iniciación, un cuento de hadas y de terror, un retrato de grupo, un manifiesto explosivo, una visita guiada a la imaginación de su autora y una crónica distinta de todas. En su adn convergen las dos facetas trans que más repelen y aterran a la buena sociedad: la furia travesti y la fiesta de ser travesti. En su voz literaria conviven Marguerite Duras, Wislawa Szymborska y Carson McCullers, con tonada cordobesa. Las malas es esa clase de libro que, en cuanto terminamos de leer, queremos que lo lea el mundo entero.","$1,560"
6,Los juegos del hambre,Suzanne Collins,juvenil cienciaficcion,2008,https://contentv2.tap-commerce.com/cover/large/9789878120249_1.jpg?id_com=1113,"En una oscura versión del futuro próximo, doce chicos y doce chicas se ven obligados a participar en un reality show llamado Los Juegos del Hambre. Solo hay una regla: matar o morir. Cuando Katniss Everdeen, una joven de dieciséis años se presenta voluntaria para ocupar el lugar de su hermana en los juegos, lo entiende como una condena a muerte. Sin embargo, Katniss ya ha visto la muerte de cerca y la supervivencia forma parte de su naturaleza.",1800
7,Lore,Alenxandra Bracken ,juvenil ,2020,https://contentv2.tap-commerce.com/cover/large/9789874132468_1.jpg?id_com=1113,"Cada siete años comienza el agon. Como castigo por la rebelión, nueve dioses griegos son forzados a caminar por la Tierra, entre los mortales, mientras son perseguidos por cazadores, descendientes de antiguos linajes, con ansias de matar a un dios y hacerse con su poder divino e inmortalidad. Hace mucho tiempo, Lore Perseus huyo de esa competición brutal a raíz del sadico asesinato de su familia por parte de un linaje rival, y dejo atras las promesas de la caza de la gloria eterna. Durante años ha intentado evadir cualquier pensamiento de venganza hacia el hombre -ahora un dios- responsable de la muerte de su familia. Sin embargo, durante el último agon en Nueva York, dos participantes le piden ayuda: Castor, su amigo de la infancia, a quien creía muerto y Atenea, una de las últimas diosas originales, gravemente herida. La diosa le ofrece una alianza contra su enemigo común y, además, una forma de que Lore pueda dejar el agon en el pasado para siempre. Pero la decisión de Lore de vincular su destino al de Atenea y volver a unirse a la caza tendrá un coste mortal, y puede que no sea suficiente para detener la aparición de un nuevo dios con el poder de poner a la humanidad de rodillas.",1990
8,La lección de August,R.J. Palacio,drama,2012,https://librotea.elpais.com/wp-content/uploads/2019/05/23/11/42/1250d10a27cb02439bb486968c467068.jpg,"Este libro trata de un niño, August, que nació con una enfermedad que le deformó la cara. Por esta misma enfermedad tuvo complicaciones desde pequeño y no era posible para él atender a la escuela. Pero en quinto grado, sus padres decidieron inscribirlo. ",2002
9,1984,George Orwell,novela ficciondistopica,1949,https://imagessl4.casadellibro.com/a/l/t5/44/9788499890944.jpg,"Es una novela de distopía cuya trama ocurre en Oceanía, un país dominado por un gobierno totalitario que mantiene en constante vigilancia a sus ciudadanos e, incluso, insiste en espiar sus pensamientos para mantener el orden.",1500
10,Un mundo feliz,Aldous Huxley,ficciondistopica tecnologiareproductiva cultivoshumanos hipnopedia,1932,https://http2.mlstatic.com/D_NQ_NP_701785-MLA44060826577_112020-O.webp,"Es una novela que ha sido publicada en el año 1932 por el escritor británico Aldous Huxley, en la cual nos muestra un mundo futuro y utópico, donde la guerra y la pobreza han sido superadas, reinando el bienestar y la paz, siendo todos permanentemente felices a pesar de haber eliminado ciertos rasgos que hoy para nosotros son esenciales, como la familia, la religión, la diversidad, la ciencia, etc.",1000
11,El principe,Nicolas Maquiavelo,politica cienciaspoliticas,1532,https://images.cdn3.buscalibre.com/fit-in/360x360/70/4a/704aabd80759fc2438f1310c5b8af020.jpg,"Es un libro escrito para enseñar a los principes de la epoca como gobernar, las tecnicas necesarias para controlar a la población y no ser odiado por la misma. De aquí nació el término Maquiavélico",2700
12,It,Stephen King,terror,1988,https://images.cdn2.buscalibre.com/fit-in/360x360/95/1a/951a3f4f2ef1f6c938af033cf2997cd0.jpg,"Es una novela de terror publicada en 1986 por el escritor estadounidense Stephen King. Cuenta la historia de un grupo de siete niños que son aterrorizados por un malvado monstruo, al que llaman It, que es capaz de cambiar de forma, alimentándose del terror que produce en sus víctimas.",3500
13,El Eternauta,Héctor Germán Oesterheld,cienciaficcion drama,1959,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.telam.com.ar%2Fadvf%2Fimagenes%2F2020%2F11%2F5fa92c21d84ef_1004x565.jpg&imgrefurl=https%3A%2F%2Fwww.telam.com.ar%2Fnotas%2F202107%2F563270-el-eternauta-sera-publicada-a-nivel-mundial-en-idioma-espanol-en-2022.html&tbnid=ChMVKnD--7uVfM&vet=12ahUKEwj24dqNxerzAhXtuZUCHV5fCiwQMygAegUIARDKAQ..i&docid=2gz5hEF3RWEmnM&w=1004&h=565&q=eternauta&hl=es&ved=2ahUKEwj24dqNxerzAhXtuZUCHV5fCiwQMygAegUIARDKAQ,novela,"$2,000"
14,Game of thrones,George R. R. Martin,fantasia,1996,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBYWFRgVFRUYGRgZGBgaGhgYGhgaGRgYGBgZGRoYGhgcIS4lHB4rHxgYJjgmKy8xNTU1GiQ7QDs0Py40NTEBDAwMEA8QGBIRGDEhGiE0MTExMTQ0NDQxMTExNDExNDE0MTQ0NDQxMTQxNDQxNDExMTQ0NDQxNDQ0NDQ0MT80NP/AABEIARYAtQMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAAAAgEDBQYEB//EAEIQAAICAAQEAwYCCAMGBwAAAAECABEDEiExBAVBYSJRcQYTMoGRoUKxFFJicsHR4fAVQ5MjJHOCkvElMzRTg6LC/8QAFwEBAQEBAAAAAAAAAAAAAAAAAAECA//EAB0RAQEBAQEBAAMBAAAAAAAAAAABEQIhMRJBYQP/2gAMAwEAAhEDEQA/APkkmTUgCcnZEkSSIASBZMiBlQVAeUDJgRACEIVMipIkiAsBGCyIBUIwMmTQkiPIYShTCEIQQhCASZEIFgkQIkiZaQRARgPOTUBGhUaowqBTUI53kS6iCIASTJEaIyyckmo4kUoXXeQUkHeNAWtIVJMUwFMkGSwi1KgIkQjShYQgRCCEmoQLAkkiT+chamWhGyyWG8WA7JFeo6sf+8pJ1gFRWjKZscm5G2IBiFlCg6KRebz9BLufRjCP6TreK9n0ysVGRiKpdVu9DXSebB5GuGC+K4KgixRuj0uZ/KDmY4XS/PrO3Tl2HktkGU+l5dwPWHCcDhthilGUkkdCNdh5VJ+Q4ciWAATr8XkGGxDKMvYix9Jk4Hs6zOfGCqkgkArbfqi/lZlnUowGgF8p1+J7PKFfK1EjQHUV3PWco2EVJB3Boyyy/AhSIdZcVgqgiBSp1imXOK085WZUIZNyWEUyoLhCEC0EyahXkbjGZaSuslWo7SVPWK+9wJlbLLkkskCkL+U6P2V402cNidbrsRVA/eYiJqN99h19Jv8AAcKRiUjBDmDMu5y/iVjXmR9ZOvno6SUcXwwcBT0ZW9aN0e0vhOApZGslspXoK1HWocMgC6bHX7/lLjFUaf2JdDSAKs+e8mEjTy8yxgmE7E/hIHqdBX1nB/nOz53wr4iAKQADbE3dV0FTjsfCZGytpexGxHadePjKo9JBX6xsXSKxmwmJIXp6xn0kCAjSAZJkGaREIVCB6U2MmtItSF0Myq0jSLm6mNRlZUwLVeBxJXUhhA9vC6HUkWRRGpsC6HrOo5YXY5yFBagaF+AA0M3U3Oc4VHZFUFApe7JGYUKsjynV8Mh0IY5U0rSj/Lp9Jju+D2zz8VxqYZAdst7X/GeiceOUY2K7ttTMBmJOx2v0qY55l+jrwb1GoOoI2Ikzm/Z/imRzw+JYP4QehGuW/KtpvcXxARGdtlH1PQSXnKF4vjUw6zuBew6n5eUvU2ARsZx+Hy/G4knFoAdCdv3VE1vZnCdEdXBBV6FmxsDQH97zV4yDXx0zKVPUV/WcjzjKqojBmykkNajf8JI9O07BvWc3zrhCzDLWXUOa+EaUa69dupMcX0rmq6xozACxrVmgd/nXWVXOoHMi9YxMU/eBBi3Hc6xWEqFuEISi8eUYiV5owNTKrLqIzExw1ydoCqIplqmTXaBrcl4FG8ZNgWNQbvqKuvpOl4Z7AoAAWGH7Q6CYfs/gLly5t3DFetDYHyszokUAUBQnLurDCcbzZ8bBZ8MOwRnzqQdxvQPTfbtOynLe1gcuiUSpIyn9o6FfXrH+f0q7D4nC4jFwWTMuIp8VjdVFmyNzvr3mjznAvBfMxy5g58wooFVmP7PoP0l6FZFKj1FKT6kgzo+Nw82G6+aN+Vy9edRHLcy5woKDhy6rh7dFb1W9fnNn2ewXCM+ISWxGza75a0J+v2E5FlvDVgNVcqSO4zC/pO85dm92hcUxFkeXkPpL35CLX3za6A6DqTWs8PNOHDplJAY1R2DEbg1rPXh587E/BlWh+1rZ+kXiUNXmoCunTW9fQzEHF81yZycL4dqrqNCfnvM8TQ5jhBXYC6u7I8+k8TzrAokEwuFyiMsCslJBgIYSYSi+4hP1jKsgIZA2Y+klTJQRYFgkk6SFEkkQNTkTtdL8RcD5FSLM7CcLy53DrkHr6HSyegFzuEqqHTT6Tl3FhpVxHDK4CtsGVh6qbEtgJhXL8ia+Jxio0Oc13z+f1nQYzPke1HwNsb/Ce05jiOCxsHEco2RXLU5IAysSdT0IuXcdxzuqjDxwxCZHWipdjoWW951s27rJvZbAR0IYao6v86oTp5j+znAPhoS4ysxHh6gAde82Jjv6KQG8ZLUD8OmqgCifnPJxhyqoslVoHvm6nz2M9WNjrmya5mBFdstk36TH5lxATwuxyqy1Q3AU0p72GHzl5g5d8SxZOt/Ub695UxlvE4od2cDKCbC+UoBnUEKhUlYBUgxjFJgAWEdSf7EIDERb7y0LExF/7QBLje7kKpHWXQKwO8S+nWS3aCuNiIEriGstmvKzU7Dl/N0cEkZAo1J+G78/4TjWS9ZKOdr7dte0nXOwfSBCYHB8wZ0DYer4YAZOrr1y+em3cTcwcQOoYXR11FH5icrzYGIgR2H0kwmQQhPNxXEhVvMo11JOwX4qHUyijisqYnvXJvLkRel0WbT5TlOccxGKRlFKSW7knofTXTvPRzXmLO4ZdFKEKD5Gxf72pEx8SdeYFFwUSyLmmhXJEkSNIEiBWEGgWrsIRMohActGAvXSBWViAw3jCVWai3AtJ85S2kdj2kKIE4bnrHY32lSHoZaiQGBIogkV1BIP1EvwOLxB+Nzf7RsVsb+e08w8ooJG3SB1fA8+8A96NbrMOoFeIj5zU4rmKIuZmGotQPxeVTgyT/P+UGPzrQdhMXmDpcfnStoHpR5A2xAoV8zfyExOP40vQAyqFygdrs33J3nlTtEYn5TU5kD3Y7SppZWkrYyh1ERhGaI57wAxZGaSHlDbSTF7wzSCc8JKNpCBawJ6xclR6kqukCp4dNZLXNjlvLfeYGK1eNWGQ/uiyPnFuDGOu0AZOUwy6bwEK61GwyRNnjeW+74dHI8bN4j5Bgconj4TDUhmYWEXNl87IAs+UaPMdqgqiaeFwqsyEooUkg01qaUkAjdTKSqeN8qsFyABC2UlrNknWgFP1geEDpIymafCcOjlGyAWXUqSQpZULBgdwPOLjYSJnbLmysq5STlVyLYk7keUDwqtayt2mth4C2WZUClCwtyUsEAmxqB2nhTCVsUA1RYCgTVdj5Ro86nTtEZCZ7+P4dVdUUAHTMASQLOlHra0fnH5xw6IwCgKfFoCSMumUknrvYgZxPSojTU5Hwy4mMEfVSr36hd5RzXlzYD5WFqbKt0Yfzl33BngSYXN/k/CYOMjs2GQUF+FmphX22jcRhJJYyzEZSbVQo8gb+5lJkUWYQAhKixdpbm6SK84rbSKlF7zrvZ5wmCgY64jvXcgafYGcaNOs6Dm5KYXDKppgucdjpJZvg8ntBwfusViuiv4h/8AofW/rE5LwvvMQZvgXxv5Uus6DmWEOJ4YOvxAZx+8B4l+xmSw9zwwX8ePqfMIP7+8kuz+jY504xOFLrt4WHoGr8pymBjsrWpo16g9iOs6blgz8EV/ZdfoSR+c5FjJzP0VpcNjYj4iKpAa6ACjKumpr0i4uK+HiMDlDDwGlpWA2tfvLuVP7rDfHPxWET13Yj5T2e0OEGycQuzqAfWtPtf0mt9Hl4PBfHbwuqsqsApUgBWFGq06y/B4TEYtkxcN3AysmuoXTUMPF6x/Zf8A80/uH8xDgeFdMZsV1KIhdmY9QbAA87sSW+2DycOjnO74iIQTh5XXwnqVVRtUdOVvRxxjYWUHVhmCgjtXpM/jsX3ju+wZia8psYC/+Hv++35rLaPFxGGVUP77DcAhLUElQSWvUdCI3MOFxERXfERgxYqMpJJcAmtPD0mM10R0M6X2jP8Au/D/AN/gWX5g8XsoP94HZH/KbvDcRh8UjYbinUmx1FEgOsxPZP8A9R/yP/CZZx2TEZlOVldqP/MdD5iS87f6H5ny58F8rag/C3Rh5+vaafsy3g4j/hzY4XicPjMIo4pwNR1U/rqfKeDlnAtg/pKN/wC3asNmGuojdmX6Y5lW85DRRATWIeEi4QPVcpYX1l2UStgJFLgYLOwVQSSQNBsCas9pve1iHOmUWi4YGYard7WNphAgbEj0JHy0lq4iVRVyP39PpUo2fZTmAVjhMQFbxKT0Ybj5ieHmvGe8xGYfCPCo/ZXY/PeUo2CN0f5Ovl6S73mBWqYn/Wv8pnPdG57KPeE6sQBnNWQN1Fzm8fgMRXKZGuyAa030N7VUuOJgfqYn/WP4CMeIwP1MT/U/pE8Hq5pxb4BTBw2KqiCyKp3OrG57eWY54nAfCc24oqTQ/d/Ij5zDbiMA/wCU58v9p/SP7/BG2G4/+T+kWaNT2awmXFbOMtLRzaC72syrheOODjOHByOzBgfIkgMPOeL9Iwj/AJb/AOof5SWx8LrhufXE/pJgt5tysoc+F48NtQVo5exrp3mhw+Ef0F1rxEsQvUixsN+kxxi4Q2R/T3n8hIficPpht6+8faXNHgZCWqje1VrfpOm9ocMnAwAASV3rUr4BuJjDiMO79yb/AOI8Y8Umv+yP+o8t/Q0fZbAIxc9UoQjMdBZI0vr1mTzHhmR3zKRbtRrQ2SRR66GMOKQae6b/AFHr6RX4lD/lad3c19TL+x5+Hx2RgyGmBsEfke069OarjcPibBwjZl/iO05UYuH1wf8A7vFbETWkIP7x+neLJR50EkrC5N3CCoSLkyKbNJYCIxMlb6wJyjWe7Bw19wGKqW98qZq1ykDSeDN1nqPEAYAwxqxfOf2aFAevWUe18NP0psMIuUFhVaaJY+8OGwQcBXyIX94ykvpahbod55H5mS2fKocjKXF2dKJrbNWlxsHjqQYZRWAbNqW3quh27SUW42GuGmGcqszqWLMLAGYgKAdtpYOEHjd8MLkw1bID4WJ0Ddh1nm/TSUyOisoJy3YK3uAQdu0luZvnzhVrIEy6lSgFZTf5x6GwETEw8QlVV0XOrLpYBoqR+UjlaKfeZlDZcNmGYfiDLr9zKDxfgZEQIHrNRYkgGwLJ27R+C4nJmpQ2dShBvYkE7ddBFF6Kj4TuECvh5ScvwurGtV6G5dzbDCGlVAKQ6fHZFnTyMz34klSiqFUkEgWSxG1ky7i+Lz2zIgalGYZtlFbE1Au5Vld8johpHayNSQCRrI4EBxiH3aZlw7Va0zA70T1uvlPJwvFHDfOADastNdUwo7ReH4ooHXKCHXIbvQdu8DQPCIcVxloYeFndBdZwq2oPlZlXBquKrqUVWVGdHQZfh3VvMSoczYFDSllXJmIJLIdMrjY6SluLoMqKqBxTUWJK/qi9hKPbj8ArIDh/GqKzp+spF518+4g/DoPfYmQUgwwqdMzqDZ8xvPG3HNmR1pWRVAIv8OgOsb/FHzu5Cn3gplIOVhp06bdIFqImJgu+QK+HkNroGVjVEbXcbmnDqqK6Khw2IyuvxA14kfvdzxtxhC5EVUUsGIBJzEbBienaWYnF5lKKgVS2cgEm2qhvsPSUeIyQYzrXSKJA0ItyZAwkfOS4i3AmBkLJqB6OB4dXLA7hCwUGsxHS57cPgAys3wsCuVCdSgIDn7zKWXo/rLRqty5L0bMCXy60xKLeQjob69RKsHgUYAtakswylt8qBgtnzNzOaUse53kg2RwSNqWyMyoaPwq7EjI3lYA16XK8HhUJxNGbI6KADRpiQT3qpl3GzwNLjuDREBUlvE4zdCFYgdtRPQeWpmAsnxopF7B1s69ZjX5QPrA1k5chyXfiLg6n8JYL6XQnnwOXoVXOSMyuWa6GGy7KR1v+PaZrMfOKf77ywe1sFPcDE1zWVIvTNuG9KsV5z0PwCagXm90HqzeY1p5eekzFOkA0DX/w7DIGpF4hTNegUV8t9LlX6AoDMVIIUlUDatT5T6V97mZcgmEejj8BUdlQ2BWvqASL7bSlWIkKajV1hUOOsUSxzdRakEgQgxhAHMQiTIBgAMjNJkVKhkaowaolkQzQp2eKpkGQID3CCMIOZAXNLjMNRw+A4UBnz5jrrlNCZc9GJxLsiozEqvwrpQ9IFDRTJO0WVFhi1CTIqBAwhCCSJBMFaFP0gDpUW4gMYGxN4Rc0JTUGN2i1JlRJhIAkkSBqiiQJIgSTAVFuTAkCM/QCIY1aXChRrJc9JKrEaBEiFwhEiBMYVFMAliL1MQC4VAnEiCWONB5xAIE5TElh2lUQEIQlQxaTmiwhU5oXIhAYSLkQkBcIQlDBhL+C4Y4hIDVQvYncgdNt955pIYjYkdNDWnl6SjX/AMIaiQ40K9D+IWevT7ypuVNY8W6sw8JvwgHKR0JEzjiN+s1adT02+kn3jfrNrv4jrJg9p5S11mFaa0djm+vw/eeXisAo2Um9AbqtD5joe0Q4jV8TV6mITepN9+sqJEISJFTGiRgJA17SQvWLm0qMHhSOYpjOYsqUQhCEEgwhAmEIQC4QhCiEIQCFQhCCEIQJ6SDCEAuRCECZEIQJhCEAhCECIQhA/9k=",,$600.00
15,Harry Potter: Piedra Filosofal,J.K Rowling,fantasia infantil aventura ficción,1997,https://static.wikia.nocookie.net/esharrypotter/images/9/9a/Harry_Potter_y_la_Piedra_Filosofal_Portada_Espa%C3%B1ol.PNG/revision/latest?cb=20151020165725,"Harry Potter y la piedra filosofal, es el primer libro de la serie literaria Harry Potter, escrito por la autora británica J. K. Rowling en 1997, que supuso además el debut de Rowling como escritora profesional. La novela fue rechazada por varias editoriales hasta que la editorial Bloomsbury se decidió a publicarla.",1450
16,El Señor de los Anillos: Las Dos Torres,J.R.R Tolkien,accion epico fantasia drama aventura,1954,https://contentv2.tap-commerce.com/cover/large/9789505470655_1.jpg?id_com=1113,"Las dos torres es el segundo volumen de la novela de fantasía heroica El Señor de los Anillos, del escritor británico J. R. R. Tolkien. La Comunidad del Anillo precede a este volumen, y a su vez continúa en El retorno del Rey.",1450
17,La caza,M.A Bennet,ficcion,2017,https://contentv2.tap-commerce.com/cover/large/9789874404367_1.jpg?id_com=1113,"Greer MacDonald es nueva en el internado de lujo STAGS. Apenas conoce a nadie y adaptarse no es fácil. Todo cambiará cuando reciba una exclusiva invitación de los Medievales, el grupo más poderoso de la escuela, para un fin de semana de «caza, tiro y pesca»",1200
18,Robinson Crusoe,Daniel Dafoe,aventura,1719,https://upload.wikimedia.org/wikipedia/commons/1/1e/Robinson_Crusoe_1719_1st_edition.jpg,"Robinson Crusoe es una de las obras más famosas del célebre escritor inglés Daniel Defoe, publicada en 1719 y considerada la primera novela inglesa. Se trata de una autobiografía ficticia del protagonista, un náufrago inglés que pasa 28 años en una remota isla desierta en la desembocadura del Orinoco, cerca de las costas de Trinidad y Venezuela.","$1,500"
19,Martin Fierro,José Hernández,literaturagauchesca,1872,https://upload.wikimedia.org/wikipedia/commons/9/99/Martin_fierro_1894.jpg,"El Gaucho Martín Fierro es un poema narrativo escrito en verso y una obra literaria considerada ejemplar del género gauchesco, escrita por el poeta argentino José Hernández en 1872. Cuenta además con una continuación, titulada La vuelta de Martín Fierro, escrita en 1879; este último libro también es conocido como «La vuelta» y la primera parte, como «La ida». Tanto «La ida» como «La vuelta» han sido seleccionados como libros nacionales de Argentina, unidos bajo el título genérico de «El Martín Fierro».",$800
20,Anne of green gables ,Lucy Maud Montgomery,novela,1906,https://http2.mlstatic.com/D_NQ_NP_829710-MLA44424240079_122020-O.webp,"Anne of Green Gables) es un libro escrito por la canadiense Lucy Maud Montgomery y publicado por primera vez en 1908. En principio se escribió para todas las edades, pero en décadas recientes se lo consideró un libro para niños. La obra narra la vida de Anne Shirley, una niña huérfana que gracias a su carácter imaginativo y despierto logra encandilar a todos los habitantes de Avonlea, el pequeño pueblo pesquero ficticio en la Isla del Príncipe Eduardo donde se desarrolla la historia a finales del siglo XIX.","$3,502"
21,Mujercitas,Louisa May Alcott,novela,1869,https://http2.mlstatic.com/D_NQ_NP_650946-MLA47724408710_102021-O.webp,"La novela cuenta la historia de las hermanas March, cuatro jovencitas que vivían en un pueblo de Nueva Inglaterra mientras la guerra civil hacía estragos en toda América. Han pasado casi ciento cincuenta años desde aquel lejano 1868, pero la complicidad de Meg, Beth, Amy y Jo con las demás mujeres no ha muerto.","$3,449"
22,El Visitante,Stepehn king,novela policial terror,2018,https://images.cdn3.buscalibre.com/fit-in/360x360/76/6a/766aecf06804f6d829c5c70538013374.jpg,Un hombre que te visita,
23,Arsené Lupin,Maurice Leblanc,policial,1987,https://tap-multimedia-1172.nyc3.digitaloceanspaces.com/productimage/40206/9788418557439.jpg?size=4&h=610,,
24,El libro troll,ElRubius,juegos,2015,https://images-na.ssl-images-amazon.com/images/I/71ehTIjQxjL.jpg,"Tu vida es un libro a medio construir, una aventura espontánea, un juego a veces provocador, pero siempre extraordinario. elrubius, un auténtico fenómeno de YouTube, está dispuesto a acompañarte en una experiencia que recoge tus momentos más gloriosos. Se llama El libro troll y es su última locura: un cuaderno de actividades, un libro interactivo, un álbum de recuerdos… Con un maestro extraordinario: elrubius.",1400
25,Viaje al centro de la tierra,Julio Verne,cienciaficcion,1864,https://i1.wp.com/cangrejoeditores.com//wp-content/uploads/2014/10/jl_viaje_centro_tierra.jpg?fit=482%2C664&ssl=1,"Viaje al centro de la Tierra es una novela de Julio Verne, publicada el 25 de noviembre de 1864, que trata de la expedición de un profesor de mineralogía el profesor Lidenbrock, su sobrino Axel y un guía llamado Hans, viajan al interior de la Tierra y se encuentran en su aventura con una gran sorpresa al llegar.",1500